sentence,translation,difficulty,Tense_Simple_Present,Tense_Present_Continuous,Tense_Present_Perfect,Tense_Present_Perfect_Cont,Tense_Simple_Past,Tense_Past_Continuous,Tense_Past_Perfect,Tense_Past_Perfect_Cont,Tense_Simple_Future,Tense_Future_Continuous,Tense_Future_Perfect,Tense_Future_Perfect_Cont,is_passive,subordinate_clause_count,noun_phrase_count,average_noun_phrase_length,prepositional_phrase_count,verb_phrase_count,adjective_count,adverb_count,proper_noun_count,sentence_length
त्याने अनेकदा कर्णधार महेन्द्रसिंग धोनीच्या अनुपस्थितीत कर्णधारपदाची जबाबदारीही पार पाडली,He also often took over captaincy duties in the absence of captain Mahendra Singh Dhoni.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.25,2,1,0,2,3,16
"२०१४ मध्ये धोनिने कसोटी क्रिकेटमधून निवृत्ती पत्करल्यानंतर, कोहली भारतीय संघाचा कर्णधार झाला","After Dhoni retired from Test cricket in 2014, Kohli became the captain of the Indian team.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,1.8,3,2,1,0,3,18
सध्या एकदिवसीय क्रिकेटमधील बरेच विक्रम कोहलीच्या नावे आहेत,Kohli currently holds most of the records in ODI cricket,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,2,1,2,1,1,10
"त्यांत सर्वात जलद शतक, सर्वात जलद ५००० धावा आणि सर्वात जलद १० शतके या विक्रमांचा समावेश आहे","These include records for the fastest century, the fastest 5000 runs, and the fastest 10 centuries.",6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2.6,1,1,3,0,0,19
सलग चार कॅलेंडर वर्षांत प्रत्येक वर्षी किमान १००० धावा करणारा तो जगातील केवळ दुसरा फलंदाज आहे,He is only the second batsman in the world to score at least 1000 runs in each of four consecutive calendar years.,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,2.6666666666666665,3,2,2,2,0,23
२०१५ मध्ये तो आंतरराष्ट्रीय टी२० मध्ये सर्वात जलद १००० धावा पूर्ण करणारा फलंदाजही झाला,"In 2015, he also became the fastest batsman to reach 1000 runs in T20Is.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1.75,2,2,1,1,0,16
आंतरराष्ट्रीय ट्वेंटी२० मध्ये सर्वाधिक अर्धशतके (१६) करण्याचा विक्रम सुद्धा कोहलीच्या नावे आहे,Kohli also holds the record for most half-centuries (16) in Twenty20 Internationals.,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.25,2,1,2,1,3,17
विराट हा तिन्ही खेळाच्या प्रकारात धावांचा वर्षाव करतो म्हणून त्याला ''विराट द रन मशीन'' म्हणले आहे,"Virat is known as ""Virat the Run Machine"" as he scores runs in all three formats of the game.",6.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,6,2.0,3,2,0,0,4,22
कोहलीला अनेक पुरस्कार मिळाले आहेत,Kohli is the recipient of several awards.,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,1,1,1,0,1,8
त्यांत आयसीसी सर्वोत्कृष्ट एकदिवसीय खेळाडू २०१२ आणि २०११-१२ व २०१४-१५ साठीचा बीसीसीआय आंतरराष्ट्रीय क्रिकेट खेळाडूचा पुरस्कारसुद्धा समाविष्ट आहे,These include the ICC Best ODI Player 2012 and the BCCI International Cricketer of the Year Award for 2011-12 and 2014-15.,7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3.25,4,1,0,0,9,26
२०१३ मध्ये त्याला त्याच्या आंतरराष्ट्रीय क्रिकेटमधील कामगिरीसाठी अर्जुन पुरस्कारने सन्मानित करण्यात आले,"In 2013, he was awarded the Arjuna Award for his achievements in international cricket.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2.0,3,1,1,0,2,16
"स्पोर्ट्‌सप्रो (SportsPro), नावाच्या एका इंग्लंडच्या मासिकाने २०१४ मध्ये कोहलीला दुसरा सर्वात उल्लेखनीय खेळाडू म्हणून उल्लेखले आहे",An English magazine named SportsPro mentioned Kohli as the second most notable sportsperson in 2014.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,2.5,2,2,3,1,2,16
११ डिसेंबर २०१७ रोजी विराट कोहली सिने अभिनेत्री अनुष्का शर्मा सोबत विवाहबद्ध झाला,Virat Kohli married actress Anushka Sharma on 11 December 2017.,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1,0,1,0,5,11
"विराट कोहलीचा जन्म ५ नोव्हेंबर, १९८८ रोजी दिल्लीतील उत्तम नगर मध्ये राहणाऱ्या एका पंजाबी कुटुंबात झाला","Virat Kohli was born on 5 November 1988 to a Punjabi family living in Uttam Nagar, Delhi.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,5,2.0,3,2,0,0,7,19
त्याचे वडील प्रेम कोहली व्यवसायाने एक वकील होते व आई सरोज कोहली ही गृहिणी आहे,His father Prem Kohli was a lawyer by profession and his mother Saroj Kohli is a homemaker.,5.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1.8571428571428572,1,2,0,0,4,18
त्याच्या मोठ्या भावाचे नाव विकास तर मोठ्या बहिणीचे नाव भावना आहे,His elder brother's name is Vikas and elder sister's name is Bhavna.,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.75,0,2,2,0,2,15
"त्याच्या कुटुंबाच्या म्हणण्यानुसार, तीन वर्षांचा असल्यापासून कोहली त्याची क्रिकेट बॅट उचलून ती फिरवत वडिलांना गोलंदाजी करण्यास सांगत असे","According to his family, from the age of three, Kohli would pick up his cricket bat, spin it and ask his father to bowl at him.",7.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1.7142857142857142,5,4,0,0,1,30
कोहली उत्तम नगर मध्ये लहानाचा मोठा झाला आणि विशाल भारती पब्लिक स्कूलमध्ये त्याचे शालेय शिक्षण सुरू झाले,Kohli grew up in Uttam Nagar and started his schooling at Vishal Bharti Public School.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.25,2,2,0,0,7,16
"१९९८ साली, पश्चिम दिल्ली क्रिकेट अकँडमीची स्थापना झाली, आणि नऊ वर्षांचा कोहली त्यांच्या पहिल्या तुकडीचा एक सदस्य होता","In 1998, the West Delhi Cricket Academy was established, and a nine-year-old Kohli was a member of their first batch.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,4.25,2,2,2,0,5,27
"“विराटने गल्ली क्रिकेटमध्ये वेळ वाया घालविण्याऐवजी त्याचे नाव एका व्यावसायिक क्लबमध्ये नोंदवा”, असे शेजाऱ्यांनी सुचविल्यानंतर कोहलीचे वडील त्याला अकादमीमध्ये घेऊन गेले","Kohli's father took him to the academy after neighbours suggested that ""Virat register his name in a professional club instead of wasting time in gully cricket.""",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,1.7777777777777777,3,4,1,1,2,30
अकादमीमध्ये कोहलीने राजकुमार शर्मा यांच्याकडून  प्रशिक्षण घेतले,"At the academy, Kohli received training from Rajkumar Sharma.",4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.5,2,1,0,0,3,11
त्यावेळी नोयडा जवळच्या सुमित डोग्रा अकादमीकडून ही तो सामने खेळला,He played these matches for Sumit Dogra Academy near Noida at the time.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1.8,3,1,0,0,4,14
नववीमध्ये असताना क्रिकेट सरावासाठी मदत म्हणून त्याने दिल्लीतील पश्चिम विहार नावाच्या वसाहातीमधील सेव्हियर कॉन्व्हेंटमध्ये प्रवेश घेतला,He joined the Saviour's Convent in a colony called Paschim Vihar in Delhi as an aid to cricket practice when he was in the ninth grade.,7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,2.0,5,3,1,0,4,28
खेळा शिवाय कोहली अभ्यासातही हुशार होता,"Apart from the game, Kohli was also good at studies",3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.3333333333333333,2,1,1,2,1,11
त्याचे शिक्षक त्याला 'एक तेजस्वी आणि हुशार मुलगा' समजत,His teachers considered him to be'a bright and intelligent boy '.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,2.6666666666666665,0,1,2,1,0,12
मेंदूच्या झटक्यामुळे एक महिना बिछान्यावर असलेल्या कोहलीच्या वडिलांचे १८ डिसेंबर २००६ रोजी निधन झाले,Kohli's father died on 18 December 2006 after a month in bed due to a brain stroke.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,2.2,4,1,0,0,2,19
"त्याच्या पूर्वायुष्याबद्दल बोलत असताना कोहली सांगतो, ""मी माझ्या आयुष्यात खूप काही पाहिलं आहे","Talking about his past, Kohli says, ""I have seen a lot in my life.",5.0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,5,1.6,2,3,0,0,1,18
"लहान वयात माझ्या वडिलांचे निधन झाले, कौटुंबिक व्यापारही व्यवस्थित चालत नव्हता, आम्ही भाड्याच्या घरात राहत होतो","My father died at a young age, the family business was also not doing well, we were living in a rented house",6.0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,2.4,2,4,1,2,0,24
कुटुंबावर कठीण वेळा आल्या,There have been difficult times for the family.,2.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2.0,1,1,1,0,0,9
हे सर्व मनावर खोल रुतून बसलं आहे,It is all deeply rooted in the mind,3.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1.5,1,0,1,1,0,8
""" कोहलीने सांगितल्यानुसार त्याच्या लहानपणी त्याच्या वडिलांनी त्याच्या क्रिकेट प्रशिक्षणाला खूप पाठिंबा दिला होता, ""माझे वडील हा माझा सर्वात मोठा आधार होता","According to Kohli, his father was very supportive of his cricket training during his childhood, ""My father was my biggest support.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2.1666666666666665,4,3,2,1,1,25
ते नेहमी मला सरावासाठी घेऊन जात असत,He always used to take me for practice,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,1.0,1,2,0,1,0,8
अजूनही कधी कधी मला त्यांच्या सहवासाची आठवण होते,I still remember his company sometimes.,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,2,0,7
"""   कोहली प्रथम ऑक्टोबर २००२ मध्ये पार पडलेल्या २००२-०३ पॉली उम्रीगर ट्रॉफी स्पर्धेत १५ वर्षांखालील दिल्लीच्या संघातून खेळला",Kohli first played for the Delhi under-15 team in the 2002-03 Polly Umrigar Trophy tournament in October 2002.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,3.5,4,1,0,1,7,21
या स्पर्धेत ३४,34 in the competition.,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,1,0,0,0,0,5
४० च्या सरासरीने त्याने सर्वांत जास्त १७२ धावा केल्या,His highest score was 172 runs at an average of 40.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,2,1,1,0,0,12
२००३-०४ पॉली उम्रीगर ट्रॉफीसाठी त्याची संघाचा कर्णधार म्हणून निवड झाली,He was named captain of the team for the Polly Umrigar Trophy.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,2.0,2,1,0,0,3,13
त्या स्पर्धेत पाच डावांत त्याने दोन शतके आणि दोन अर्धशतकांसह ७८ च्या सरासरीने ३९० धावा केल्या,"In five innings in that tournament, he scored 390 runs at an average of 78 with two centuries and two half-centuries.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,2.142857142857143,5,1,0,0,0,25
२००४ च्या उत्तरार्धात तो २००४-०५ विजय मर्चंट ट्रॉफीसाठी १७ वर्षांखालील दिल्ली संघात निवडला गेला,"In late 2004, he was selected in the Delhi under-17 team for the Vijay Merchant Trophy.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,3,3.0,3,1,1,0,5,18
त्या स्पर्धेत त्याने दोन शतकांसह ११७,"He scored 117 in that tournament, including two centuries.",3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,2,2,0,0,0,11
"५० च्या सरासरीने ४७० धावा केल्या, त्यात नाबाद २५१ ही त्याची सर्वोच्च धावसंख्या होती","He scored 470 runs at an average of 50, with 251 not out as his highest score.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.0,5,1,1,1,0,19
"२००५-०६ विजय मर्चंट ट्रॉफी, १७ वर्षांखालील दिल्लीच्या संघाने जिंकली, ज्यात कोहली सर्वात जास्त धावा करणारा फलंदाज होता","The Vijay Merchant Trophy was won by the Delhi Under-17 team, with Kohli as the leading run-scorer.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,4,3.5,2,1,1,0,6,21
त्याने ७ सामन्यांत तीन शतकांसह ८४,He scored 84 runs in 7 matches with three centuries.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1.75,2,1,0,0,0,11
११ च्या सरासरीने ७५७ धावा केल्या,Scored 757 runs at an average of 11,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.0,2,1,0,0,0,8
"फेब्रुवारी २००६ मध्ये त्याने सर्व्हिसेसच्या संघाविरुद्ध दिल्लीकडून लिस्ट अ सामन्यामध्ये पदार्पण केले, परंतु त्याला फलंदाजी मिळाली नाही","In February 2006, he made his List A debut for Delhi against Services, but did not get to bat.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1.1666666666666667,4,2,0,0,3,22
जुलै २००६ मध्ये कोहली इंग्लंड दौऱ्यावर जाणाऱ्या भारताच्या १९ वर्षांखालील खेळाडूंच्या क्रिकेट संघात निवडला गेला,"In July 2006, Kohli was selected in the India Under-19 cricket team to tour England.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,4,2.0,2,2,0,0,5,17
त्याने इंग्लंडच्या १९ वर्षांखालील खेळाडूंच्या क्रिकेट संघाविरुद्ध तीन एकदिवसीय सामन्यांच्या मालिकेत १०५ च्या सरासरीने  तर तीन कसोटी सामन्यांच्या मालिकेत ४९ च्या सरासरीने धावा केल्या,He averaged 105 in the three-match ODI series against the England Under-19s and 49 in the three-match Test series.,8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,4.0,3,1,1,0,2,24
भारताच्या क्रिकेट संघाने १९ वर्षांखालील क्रिकेट सामन्यांच्या दोन्ही मालिकांमध्ये अजिंक्यपद मिळवले,The Indian cricket team won the championship in both series of Under-19 cricket matches.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.75,2,1,1,0,1,15
"दौऱ्याच्या समाप्‍तीच्या वेळी संघाचे प्रशिक्षक लालचंद राजपूत कोहलीच्या फलंदाजीने प्रभावित होत म्हणाले, कोहलीने जलद आणि फिरकी दोन्ही गोलंदाजी विरुद्ध मजबूत तांत्रिक कौशल्य दाखविले","At the end of the tour, team coach Lalchand Rajput was impressed with Kohli's batting, saying that Kohli showed strong technical skills against both fast and spin bowling.",8.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,2.857142857142857,4,3,4,0,4,32
सप्टेंबर महिन्यात भारताच्या १९ वर्षांखालील खेळाडूंच्या क्रिकेट संघाने पाकिस्तानचा दौरा केला,"In September, an Indian Under-19 cricket team toured Pakistan.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,1,1,1,0,3,11
कोहलीने पाकिस्तान १९ वर्षांखालील क्रिकेट संघा विरुद्ध कसोटी मालिकेत ५८ तर एकदिवसीय मालिकेत ४१,Kohli played 58 Tests and 41 ODIs against the Pakistan Under-19 cricket team.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.5,1,1,0,0,3,14
६६ च्या सरासरीने धावा केल्या,Scored at an average of 66,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2.0,2,1,0,0,0,6
ऑक्टोबर मध्ये दिल्ली १९ वर्षांखालील क्रिकेट संघाकडून खेळताना त्याने विनू मांकड ट्रॉफीमध्ये १५ च्या सरासरीने आणि कुचबिहार ट्रॉफीमध्ये ७२,"Playing for the Delhi under-19 cricket team in October, he averaged 15 in the Vinoo Mankad Trophy and 72 in the Cooch Behar Trophy.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,3.0,4,2,0,0,9,26
"त्यानंतर तो विजय हजारे ट्रॉफीसाठी उत्तर विभाग १९ वर्षांखालील संघामध्ये निवडला गेला, ज्यामध्ये त्याने दोन सामन्यांत २८ च्या सरासरीने धावा केल्या","He was then selected in the North Zone Under-19 team for the Vijay Hazare Trophy, in which he scored at an average of 28 in two matches.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,2.2857142857142856,6,2,0,1,6,29
"कोहलीने नोव्हेंबर २००६ मध्ये, तो १८ वर्षांचा असताना तामिळनाडूविरुद्ध प्रथम श्रेणी सामन्यात पदार्पण केले, आणि पदार्पणाच्या सामन्यात तो अवघ्या १० धावा काढू शकला","Kohli made his first-class debut against Tamil Nadu in November 2006 when he was 18 years old, scoring just 10 runs on debut.",7.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,7,2.0,3,3,2,1,4,27
परंतु जेव्हा तो डिसेंबर महिन्यात झालेल्या वडलांच्या निधनानंतरही कर्नाटकविरुद्ध खेळला तेव्हा तो तेव्हा खऱ्या अर्थाने प्रकाशझोतात आला,But he really came into the limelight when he played against Karnataka despite the death of his father in December.,6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,7,1.4285714285714286,5,2,0,1,2,21
त्या  सामन्यात त्याने ९० धावा केल्या,He scored 90 runs in that match.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,1,1,0,0,0,8
तो बाद झाल्यानंतर लगेचच वडिलांच्या अंत्यविधीसाठी गेला,He went to his father's funeral soon after his dismissal.,4.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,2,1,0,1,0,12
"दिल्लीचा कर्णधार मिथुन मन्हास म्हणतो ""ही एक खूपच वचनबद्धतेची कृती आहे आणि त्याच्या खेळी निर्णायक ठरली","Mithun Manhas, the Delhi captain, says ""It's a very committed act and his innings proved to be decisive.""",6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2.4,0,4,2,1,3,24
त्याचा करारीपणा आणि  वृत्तीला सलाम,Hats off to his consistency and attitude.,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.3333333333333333,1,0,0,0,0,8
"""  त्याची आई नमूद करते की ""त्या दिवसानंतर विराट थोडासा बदलला","""His mother notes that"" Virat changed a little after that day. """,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1.6666666666666667,1,2,1,0,1,15
एका रात्रीत तो खूपच प्रौढ झाला,"One night, he became quite an adult.",3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2.0,0,1,0,0,0,9
प्रत्येक सामना त्याने खूप गंभीरपणे घेतला,He took every match very seriously.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,2,0,7
बाकावर बसून राहण्याचा त्याला तिटकारा येऊ लागला,He began to get tired of sitting on the bench.,3.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,1.5,2,3,1,0,0,11
"आता, तो फक्त त्याच्या वडलांच्या स्वप्नामागे धावतोय","Now, he is only chasing his father's dream",3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2.5,0,1,0,2,0,10
ते त्याचं स्वतःचं सुद्धा स्वप्न आहे,It's his dream too.,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.5,0,1,0,1,0,6
"""  त्या मोसमात त्याने ६ सामन्यांत ३६",He scored 36 runs in 6 matches that season.,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,1,1,0,0,0,10
७१ च्या सरासीने २५७ धावा केल्या,Sarasi of 71 scored 257 runs,2.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1.5,1,1,0,0,1,6
एप्रिल २००७ मध्ये त्याने ट्वेंटी२०त पदार्पण केले आणि आंतरराज्य टी२० स्पर्धेत ३५,"He made his Twenty20 debut in April 2007, making 35 appearances in the Inter-State T20 Tournament.",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2.6,2,2,0,0,7,20
८० च्या सरासरीने १७९ धावा करून त्याच्या  संघामध्ये त्याने सर्वोत्कृष्ट कामगिरी केली,"He was the best performer for his team, scoring 179 runs at an average of 80",5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,5,2.0,3,2,1,0,0,17
जुलै-ऑगस्ट २००७ मध्ये भारताच्या १९ वर्षांखालील क्रिकेट संघाने श्रीलंकेचा दौरा केला,The Indian Under-19 cricket team toured Sri Lanka in July-August 2007.,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2.25,1,1,1,0,5,14
श्रीलंका १९ वर्षांखालील क्रिकेट संघ आणि बांग्लादेश १९ वर्षांखालील क्रिकेट संघयांच्याशी झालेल्या त्रिकोणी मालिकेतील ५ सामन्यांमध्ये कोहलीने १४६ धावा केल्या आणि सर्वाधिक धावा करणाऱ्या फलंदाजांच्या यादीत त्याने दुसरे स्थान मिळविले,"Kohli scored 146 runs in 5 matches of the tri-series involving the Sri Lanka U19 cricket team and Bangladesh U19 cricket team, finishing second in the list of highest run-scorers.",9.0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,9,2.5555555555555554,4,3,2,1,6,36
त्यानंतरच्या दोन कसोटी सामन्यांच्या मलिकेत त्याने एका शतकाच्या आणि एका अर्धशतकाच्या जोरावर १२२ च्या सरासरीने २४४ धावा केल्या,"In the two Tests that followed, he scored 244 runs at 122 with a century and a half-century.",6.0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,6,2.1666666666666665,3,2,1,0,0,22
